Designation,z,r
J005407.03+073611.9,0.10719,17.05
J023658.06+024217.9,0.08744,16.17
J023832.67+023349.1,0.20780,17.13
J083425.28+283451.3,0.10253,17.04
J091646.03+283526.7,0.14233,16.63
J094430.79+435421.4,0.58779,17.77
J100708.01+242039.0,0.54355,18.81
J104718.31+254348.3,0.62712,18.72
J113630.61+135848.8,0.08169,16.91
J121342.90+422202.8,0.07525,15.46
J123314.49+262624.9,0.57025,18.58
J131434.73+563419.3,0.14407,17.39
J133730.29-002525.4,0.17212,17.11
J133737.82+555816.7,0.47461,19.26
J135207.73+052555.8,0.07892,15.01
J135646.10+102609.0,0.12313,15.81
J140225.68+465817.4,0.12759,16.79
J140231.28+184807.8,0.13970,18.95
J150501.56+371311.7,0.06517,16.25
J232703.17+004256.7,0.06601,16.47