System Type 1: Triple AGNs,ST1 Confidence Flag,System Type 2: Dual AGNs,ST2 Confidence Flag,System Type 3: Recoils,ST3 Confidence Flag,ST1 Num AGNs,ST2 Num AGNs,ST3 Num AGNs,Literature Name,Name1,Selection Method,Confirmation Method,z1,z1_type,RA1,Dec1,Equinox1,Coordinate_waveband1,Coordinate_Source1,Brightness1,Brightness_band1,Brightness_type1,Name2,z2,z2_type,RA2,Dec2,Equinox2,Coordinate_waveband2,Coordinate_Source2,Brightness2,Brightness_band2,Brightness_type2,Name3,z3,z3_type,RA3,Dec3,Equinox3,Coordinate_waveband3,Coordinate_Source3,Brightness3,Brightness_band3,Brightness_type3,Sep12,Sep12(kpc),Sep13,Sep13(kpc),Sep23,Sep23(kpc),Paper(s),BibCode(s),DOI(s),Notes

Triple AGN Candidate,-1,Dual AGN Candidate,-1,"-99",-99,3,2,-99,NGC 3341,NGC 3341B Nucleus,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","-99",0.027339,spec,10:42:31.47,+05:02:37.63,J2000,X-ray,Chandra,,,,NGC 3341B,0.027154,spec,10:42:32.05,+05:02:41.51,J2000,X-ray,Chandra,,,,NGC 3341C,0.027169,spec,10:42:31.75,+05:02:52.83,J2000,Optical,SDSS,,,,9.5,5.1,12,6.4,15.6,8.4,Barth+2008 ; Bianchi+2013,2008ApJ...683L.119B ; 2013MNRAS.435.2335B,https://doi.org/10.1086/591905 ; https://doi.org/10.1093/mnras/stt1459,Coordinates are not listed in Barth so they are pulled from bianchi. Redshifts from Bianchi. Separations 12 and 13 come from  Barth while 23 comes from Bianchi.

Triple AGN Candidate,-0.5,Dual AGN,1,"-99",-99,3,2,-99,SDSS J1027+1749,J102700.40+174900.8 (SDSS J1027+1749A),"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","{'Optical':['Spectroscopy','Long-Slit Spectroscopy'],'X-ray':['Imaging','Spectroscopy']}",0.0668,spec,10:27:00.40,+17:49:00.8,J2000,Optical,SDSS,,,,J102700.55+174900.2 (SDSS J1027+1749B),0.0664,spec,10:27:00.55,+17:49:00.2,J2000,Optical,SDSS,,,,J102700.38+174902.6 (SDSS J1027+1749C),0.0652,spec,10:27:00.38,+17:49:02.6,J2000,Optical,SDSS,,,,,3.0,,,,2.4,Liu+2011a,2011ApJ...736L...7L,https://doi.org/10.1088/2041-8205/736/1/L7,Triple AGN candidate but Foord+2021 showed there are likely two AGNs so this is a dual AGN. No listed separation between B and C so that is blank here. Separations are not quoted in arcseconds so we will need to go and gather that info.

Triple AGN Candidate,0.5,"-99",-99,"-99",-99,3,-99,-99,J123652+621354,J123652+621354A,"{'Serendipitous':[],'Optical':['Imaging','Spectroscopy']}","-99",1.3550,spec,12:36:52.77,+62:13:54.8,J2000,,,,,,J123652+621354BC,,,,,J2000,,,,,,J123652+621354D,,,,,J2000,,,,,,0.38,4.5,1.18,14,1.4,16.9,Schawinski+2011,2011ApJ...743L..37S,10.1088/2041-8205/743/2/L37,No distinct coordinates or redshifts provided for the nuclei. No name given either so I have assigned it a name based on the RA and DEC values.

Triple AGN,1,"-99",-99,"-99",-99,3,-99,-99,SDSS J0849+1114,J0849+1114 Gal 1,"{'Mid-IR':['Imaging','Colors'],'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","{'X-ray':['Imaging','Spectroscopy'],'Optical':['Long-Slit Spectroscopy']}",0.077,spec,08:49:05.529,+11:14:47.876,J2000,0.3-8 keV,Chandra,,,,J0849+1114 Gal 2,0.077,spec,08:49:05.381,+11:14:47.876,J2000,0.3-8 keV,Chandra,,,,J0849+1114,0.077,spec,08:49:05.448,+11:14:51.646,J2000,0.3-8 keV,Chandra,,,,2.3,,5.0,,3.6,,Pfeifle+2019b ; Gabányi+2019 ; Liu+2019, 2019ApJ...883..167P ;  2019A&A...630L...5G ; 2019ApJ...887...90L,https://doi.org/10.3847/1538-4357/ab3a9b ; https://doi.org/10.1051/0004-6361/201936519 ; https://doi.org/10.3847/1538-4357/ab54c3,

Triple AGN Candidate,0,"-99",-99,Recoil AGN Candidate,0,3,-99,1,SDSS J1056+5516,SDSS J1056+5516A,"{'Optical':['Imaging','Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios']}","-99",0.2564,spec,10:56:09.79,+55:16:04.0,J2000,Optical,SDSS,,,,SDSS J1056+5516B,0.2572,spec,10:56:09.48,+55:16:00.9,J2000,Optical,SDSS,,,,SDSS J1056+5516C,0.2566,spec,10:56:09.21,+55:16:04.2,J2000,Optical,SDSS,,,,4.0,,3.9,,4.5,,Kalfountzou+2017,2017ApJ...851L..15K,https://doi.org/10.3847/2041-8213/aa9b2d,

Triple AGN Candidate,-1,Dual AGN Candidate,1,"-99",-99,3,2,-99,QQQ J1519+0627,QQQ1519A,"{'Optical':['Spectroscopy','Fiber Spectroscopy']}","{'Optical':['Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}",1.504,spec,15:19:47.3,+06:27:53,J2000,Near-IR,Calar Alto,,,,QQQ1519B,1.513,spec,15:19:45.7,+06:27:52,J2000,Near-IR,Calar Alto,,,,QQQ1519C,1.506,spec,15:19:45.9,+06:27:49,J2000,Near-IR,Calar Alto,,,,23.5,,3.7,,21.1,,Farina+2013,2013MNRAS.431.1019F,https://doi.org/10.1093/mnras/stt209,

Triple AGN,1,"-99",-99,"-99",-99,3,-99,-99,QQQ 1432-0106,QSO A,"{'Optical':['Imaging','Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}","{'Optical':['Imaging','Spectroscopy','Long-Slit Spectroscopy'],'Near-IR':['Imaging']}",2.076,spec,14:32:29.232,-01:06:15.68,J2000,,,,,,QSO B,2.076,spec,14:32:28.9,-01:06:13,J2000,,,,,,QSO C,2.08,spec,14:32:29.2,-01:06:12,J2000,,,,,,5.11,,3.62,,4.29,,Djorgovski+2007,2007ApJ...662L...1D,https://doi.org/10.1086/519162,Brightnesses are nicely listed in the table and I will grab those later

Triple AGN Candidate,-1,Dual AGN,1,"-99",-99,3,2,-99,SDSS J150243.1+111557,SDSS J1502+1115P,"{'Optical':['Spectroscopy','Fiber Spectroscopy','Spectroscopic Emission Line Ratios','Double-Peaked Optical Spectroscopic Emission Lines'],'Radio':['Imaging','Double Sources']}","-99",0.39,spec,15:02:43.088667,11:15:57.40016,J2000,5GHz,VLBA,254,5GHz,muJy,SDSS J1502+1115SE,0.39,spec,15:02:43.180261,11:15:57.06831,J2000,5GHz,VLBA,891,5GHz,muJy,SDSS J1502+1115SW,0.39,spec,15:02:43.178473,11:15:57.06508,J2000,5GHz,VLBA,1010,5GHz,muJy,26e-3,138e-3,,,,,Deane+2014 ; Wrobel+2014,2014Natur.511...57D ; 2014ApJ...792L...8W,https://doi.org/10.1038/nature13454 ; https://doi.org/10.1088/2041-8205/792/1/L8,Deane+ used VLBI imaging to claim the presence of a triple gravitationally bound system in the dual AGN confirmed by Fu+2011 but Wrobel+ showed that the inner binary is much more likely to be a pair of hot spots rather than a binary using VLBA imaging. Coordinates come from Wrobel+2014. Separations for J1502SE and SW give the separations between these two components. Separation for J1502P is for approximate separation between J1502P and inner 'binary' (given by the original separation from Fu+2011).

Triple AGN Candidate,0,"-99",-99,"-99",-99,3,-99,-99,4HERMES S250 SF J003519.2-440055,ES1C_60,"{'Radio':['Imaging],'Near-IR':['Imaging'],'Serendipitous':[],'Infrared':['Imaging']}","-99",1.45,phot,00:35:18.99,-44:00:56.7,J2000,,,,,,ES1C_62,1.44,phot,00:35:18.92,-44:00:54.8,J2000,,,,,,ES1C_55,1.37,phot,00:35:18.73,-44:00:57.3,J2000,,,,,,,,,,,,Lacy+2018,2018ApJ...8f64....8L,https://doi.org/10.3847/1538-4357/aad27d,Photometric redshifts only. One radio loud source and two 24um sources. Separations are not listed. Need to fix up the selection strategy entry for this.

Triple SMBH Candidate,0,"-99",-99,"-99",-99,2,-99,-99,4C31.61 (2201+315),C0,"{'Radio':['Imaging']}","-99",0.29474,spec,22:03:14.9757,+31:45:38.269,J2000,,,,,,C9,0.29474,spec,,,J2000,NA,NA,,,,C3,0.29474,spec,,,J2000,NA,NA,,,,0.296e-3,,,,0.577e-3,,Roland+2020,2020A&A...634A.101R,https://doi.org/10.1051/0004-6361/201834740,Coodinates and redshifts are NOT unique and come from NED. Roland+ use VLBI imaging and a previously developed model to claim the presence of a SMBH binary and a third SMBH ejected radio components.
  
Triple AGN Candidate,0.5,Dual AGN,1,"-99",-99,3,2,-99,HCG 16,NGC 833,"{'X-ray':['Imaging','Spectroscopy']}","{'X-ray':['Imaging','Spectroscopy']}",0.01286,NED,02:09:20.861,-10:07:59.41,J2000,X-ray,Chandra,,,,NGC 835,0.01283,spec,02:09:24.613,-10:08:09.50,J2000,X-ray,Chandra,,,,NGC 839,0.01292,NED,02:09:42.754,-10:11:02.40,J2000,X-ray,Chandra,,,,,,,,,,Turner+2001 ; Koss+2012 ; O'Sullivan+2014 ; Oda+2018,2001A&A...365L.110T ; 2012ApJ...746L..22K ; 2014ApJ...793...73O ; 2018ApJ...855...79O,https://doi.org/10.1051/0004-6361:20000070 ; https://doi.org/10.1088/2041-8205/746/2/L22 ; https://doi.org/10.1088/0004-637X/793/2/73 ; https://doi.org/10.3847/1538-4357/aaaccc,833 and 835 are firmly AGNs. AGNs have been suggested via optical diagnostics in 838  and 839 but 838 is more likely to be due to shocks. Turner and O'sullivan find 838 best modeled by a hard component from XRBs and a soft component from hot gas from SB driven wind. 839 was suggested to have a faint absorbed nucleus by Turner+. O'sullivan+ also find an AGN component could explain the emission or it could be that the hard emission is explained by a power law driven by XRBs. 839 is not detected by NuSTAR by 

Triple AGN,1,"-99",-99,"-99",-99,3,-99,-99,J102009.99+104002.7 (ELAN J1020+1040),J102009.99+104002.7,"{'Optical':['Imaging','Spectroscopy'],'Serendipitous':[]}","{'Optical':['Imaging','Spectroscopy']}",3.164,spec,10:20:09.99,+10:40:02.7,J2000,Optical,SDSS,,,,QSO2,3.156,spec,10:20:09.58,+10:40:02.30,J2000,Optical,MUSE,,,,AGN1,3.179,spec,10:20:09.92,+10:40:13.93,J2000,Optical,MUSE,,,,6.8,,,,11.3,,Arrigoni Battaia+2018,2018MNRAS.473.3907A,https://doi.org/10.1093/mnras/stx2465,There is a tenative fourth AGN in this system but they could not confirm

Triple AGN Candidate,0,"-99",-99,"-99",-99,3,-99,-99,SDSS J121135.93+354417.6,SDSS J121135.93+354417.6,"{'Optical':['Varstrometry','Imaging']}","-99",0.06,spec,12:11:35.93,+35:44:17.6,J2000,Optical,SDSS,,,,SDSS J121135.93+354417.6,0.06,spec,12:11:35.93,+35:44:17.6,J2000,Optical,SDSS,,,,SDSS J121135.93+354417.6,0.06,spec,12:11:35.93,+35:44:17.6,J2000,Optical,SDSS,,,,,,,,,,Shen+2019,2019ApJ...885L...4S,https://doi.org/10.3847/2041-8213/ab4b54,Triple candidate drawn from GAIA DR2 where there are three GAIA matches within 3''. It is unclear if this is a triple AGN or if the other GAIA sources are associated with clumpy structure in the host. Coordinates are not unique and come from SDSS designation.

Triple AGN Candidate,0,Dual AGN Candidate,0.5,"-99",-99,3,2,-99,J130653.60+073518.1,J1306+0735 NE,"{'Mid-IR':['Imaging','Colors'],'X-ray':['Imaging','Spectroscopy']}","-99",0.11111,spec,13:06:53.601,+07:35:18.85,J2000,X-ray,Chandra,,,,J1306+0735 SW,,,13:06:53.429,+07:35:17.17,J2000,X-ray,Chandra,,,,J1306+0735 SE,,,13:06:53.550,+07:35:14.44,J2000,X-ray,Chandra,,,,,,,,,,Satyapal+2017 ; Pfeifle+2019a,2017ApJ...848..126S ; 2019ApJ...875..117P,https://doi.org/10.3847/1538-4357/aa88ca ; https://doi.org/10.3847/1538-4357/ab07bc,Note:the redshifts listed are identical because only one is available but the sources are all coincident with a single clumpy galaxy structure
