Objname,RA,Dec,Class,zNL,Date,delta_t0,Tel,Weather
J0012-1022,00:12:24.03,-10:22:26.3,A,0.228,2011-07-22,8.08,C3.5m,P
J0155-0857,01:55:30.02,-08:57:04.0,O,0.165,2011-09-26,8.62,Lick,C
J0221+0101,02:21:13.15,+01:01:02.9,O,0.354,2011-09-26,8.02,Lick,C
J0829+2728,08:29:30.60,+27:28:22.7,O,0.321,2012-02-22,6.32,C2.2m,NP
J0918+3156,09:18:33.82,+31:56:21.2,O,0.452,2012-02-20,5.64,C2.2m,NP
J0919+1108,09:19:30.32,+11:08:54.0,O,0.369,2012-02-20,5.86,C2.2m,NP
J0921+3835,09:21:16.13,+38:35:37.6,A,0.187,2012-02-22,7.50,C2.2m,NP
J0927+2943,09:27:12.65,+29:43:44.1,B,0.713,2012-02-20,4.14,C2.2m,NP
J0931+3204,09:31:39.05,+32:04:00.2,O,0.226,2012-02-21,5.79,C2.2m,NP
J0932+0318,09:32:01.60,+03:18:58.7,B;D,0.420,2012-02-22,7.19,C2.2m,NP
J0936+5331,09:36:53.85,+53:31:26.9,A,0.228,2011-03-15,7.48,C2.2m,C
J0942+0900,09:42:15.12,+09:00:15.8,D,0.213,2012-02-21,7.28,C2.2m,NP
J0946+0139,09:46:03.95,+01:39:23.7,A,0.220,2012-02-22,8.96,C2.2m,NP
J1000+2233,10:00:21.80,+22:33:18.6,B;D,0.419,2011-01-03,3.53,Keck,NP
J1010+3725,10:10:34.28,+37:25:14.8,O,0.282,2012-02-22,6.38,C2.2m,NP
J1012+2613,10:12:26.86,+26:13:27.3,B;D,0.378,2012-02-22,4.42,C2.2m,NP
J1027+6050,10:27:38.54,+60:50:16.5,D,0.332,2012-02-22,7.41,C2.2m,NP
J1050+3456,10:50:41.36,+34:56:31.4,B,0.272,2012-02-21,5.49,C2.2m,NP
J1105+0414,11:05:39.64,+04:14:48.2,D,0.436,2012-02-23,6.91,C2.2m,NP
J1117+6741,11:17:13.91,+67:41:22.7,O,0.248,2012-02-21,8.86,C2.2m,NP
J1154+0134,11:54:49.42,+01:34:43.6,B;A,0.469,2011-03-15,6.68,C2.2m,C
J1207+0604,12:07:55.83,+06:04:02.8,O,0.136,2012-02-23,8.69,C2.2m,NP
J1211+4647,12:11:13.97,+46:47:12.0,O,0.294,2012-02-21,6.06,C2.2m,NP
J1215+4146,12:15:22.78,+41:46:21.0,O,0.196,2012-02-21,6.55,C2.2m,NP
J1216+4159,12:16:09.60,+41:59:28.4,O,0.242,2012-02-22,6.31,C2.2m,NP
J1328-0129,13:28:34.15,-01:29:17.6,O,0.151,2012-02-20,8.45,C2.2m,NP
J1414+1658,14:14:42.03,+16:58:07.2,O,0.237,2012-02-23,3.23,C2.2m,NP
J1440+3319,14:40:05.31,+33:19:44.5,A,0.179,2012-02-23,5.77,C2.2m,NP
J1536+0441,15:36:36.22,+04:41:27.0,B;D,0.389,2012-02-23,2.78,C2.2m,NP
J1539+3333,15:39:08.09,+33:33:28.0,B,0.226,2011-03-12,6.28,C2.2m,C
J1652+3123,16:52:55.90,+31:23:43.8,O,0.593,2011-07-23,5.12,C3.5m,P
J1714+3327,17:14:48.51,+33:27:38.3,B;O,0.181,2011-07-21,2.72,C3.5m,P