No.,Name,MJD1,MJD2,MJD3,MJD4,V2,2.5σ,1σ,V3,2.5σ,1σ,V4,2.5σ,1σ,Category
01,032213.89+005513.4,51901,53358,57252,...,-44,±25,±9,40,±7,±3,...,...,...,2
02,082930.60+272822.7,51781,55869,57463,...,-190,±79,±31,-685,±89,±35,...,...,...,2
03,084716.04+373218.1,52323,55302,57452,57463,98,±31,±12,123,±21,±8,149,±22,±8,1
04,085237.02+200411.0,53680,55302,55955,57461,-162,±100,±39,-368,±76,±30,-186,±57,±22,1
05,092837.98+602521.0,51909,55999,57461,...,423,±128,±51,312,±133,±51,...,...,...,1
06,103059.09+310255.8,53440,55945,57464,...,290,±135,±52,195,±120,±46,...,...,...,2
07,110051.02+170934.3,54176,55713,57464,...,-263,±51,±19,-451,±97,±37,...,...,...,2
08,111230.90+181311.4,54179,55927,57464,...,-240,±95,±37,-394,±82,±30,...,...,...,1
09,141020.57+364322.7,53143,54590,57437,...,-353,±109,±43,-245,±46,±19,...,...,...,3
10,153705.95+005522.8,51663,54562,57252,57437,126,±70,±27,201,±60,±23,257,±94,±37,1
11,155053.16+052112.1,53172,54592,57252,57437,1154,±56,±24,343,±159,±62,-5,±290,±144,2
12,234932.77-003645.8,51788,52523,56932,57251,62,±34,±13,-138,±33,±13,-209,±47,±18,2