Name,RA,Dec,z,dV_[OIII],AGN_Type,Companion_separation_as,Companion_separation_kpc,Imager,ExpTime,ExpTime_UT,Seeing,Reference
J020011.52-093126.1,02:00:11.52,-09:31:26.1,0.361,200,1,1.17,5.8,NIRC2/H,1440,2009-Sep-22,,L;S
J072554.42+374436.9,07:25:54.42,+37:44:36.9,0.634,250,1,2.91,19.9,NIRC2/H,1560,2009-Sep-22,,L;S
J080315.67+483603.0,08:03:15.67,+48:36:03.0,0.635,280,1,2.63,18.0,NIRC2/Kp,420,2011-Jan-05,0.6,S
J081507.41+430427.0,08:15:07.41,+43:04:27.0,0.510,500,1,1.95,12.0,NIRC2/Kp,360,2011-Jan-05,0.6,S
J083713.48+150037.2,08:37:13.48,+15:00:37.2,0.141,388,2,1.37,3.4,NIRC2/Kp,480,2011-Jan-06,0.9,L
J085841.76+104122.1,08:58:41.76,+10:41:22.1,0.148,384,2,0.40,1.0,NIRC2/H,800,2012-May-19,0.5,W;L
J090246.93+012028.2,09:02:46.93,+01:20:28.2,0.513,240,2,2.71,16.8,NIRC2/Kp,600,2011-Jan-06,0.8,S
J090615.92+121845.6,09:06:15.92,+12:18:45.6,0.644,200,1,0.61,4.2,NIRC2/Kp,448,2011-Jan-05,0.5,S
J091646.03+283526.7,09:16:46.03,+28:35:26.7,0.142,425,2,1.23,3.1,NIRC2/Kp,668,2011-Jan-06,1.0,L
J092455.24+051052.0,09:24:55.24,+05:10:52.0,0.150,410,2,0.44,1.2,NIRC2/Kp,660,2011-Jan-06,1.0,S
J094032.25+311328.6,09:40:32.25,+31:13:28.6,0.170,371,2,2.45,7.1,NIRC2/Kp,840,2011-Jan-06,1.0,L
J094236.68+192541.1,09:42:36.68,+19:25:41.1,0.539,680,1,0.44,2.8,NIRC2/Kp,640,2011-Jan-05,0.5,S
J095207.62+255257.2,09:52:07.62,+25:52:57.2,0.339,475,1,1.00,4.8,NIRC2/H,1380,2010-Jan-05,,L;S
J105104.54+625159.3,10:51:04.54,+62:51:59.3,0.436,360,1,1.52,8.6,NIRC2/Kp,600,2011-Jan-05,0.5,S
J110851.04+065901.4,11:08:51.04,+06:59:01.4,0.182,209,2,0.73,2.2,NIRC2/Kp,192,2010-Jun-04,0.3,L
J114642.47+511029.6,11:46:42.47,+51:10:29.6,0.130,284,2,2.84,6.6,NIRC2/Kp,704,2010-Jun-04,0.4,L
J115106.69+471157.7,11:51:06.69,+47:11:57.7,0.318,490,1,1.29,6.0,NIRC2/Kp,600,2011-Jan-05,0.4,S
J115523.74+150756.9,11:55:23.74,+15:07:56.9,0.287,560,1,0.58,2.5,NIRC2/Kp,352,2010-Jun-03,0.7,S
J115714.97+081632.0,11:57:14.97,+08:16:32.0,0.201,420,2,2.61,8.6,NIRC2/Kp,448,2010-Jun-03,0.7,S
J120320.65+131931.3,12:03:20.65,+13:19:31.3,0.058,296,2,1.91,2.1,NIRC2/Kp,224,2010-Jun-03,0.6,W
J123915.40+531414.6,12:39:15.40,+53:14:14.6,0.202,800,1,1.26,4.2,NIRC2/Kp,896,2010-Jun-04,0.3,S
J124037.84+353437.3,12:40:37.84,+35:34:37.3,0.161,513,2,0.19,0.5,OSIRIS/Hbb,960,2010-Mar-07,0.7,L
J124046.63+512902.1,12:40:46.63,+51:29:02.1,0.597,260,1,1.70,11.0,NIRC2/H,1500,2012-May-20,0.5,S
J124859.72-025730.8,12:48:59.72,-02:57:30.8,0.487,345,1,0.53,3.2,NIRC2/Kp/H,768/2040,2010-Jun-04/2010-Apr-21,0.4/0.8,S
J125327.50+254747.4,12:53:27.50,+25:47:47.4,0.483,680,1,0.72,4.3,NIRC2/Kp,420,2011-Jan-05,0.4,S
J130128.76-005804.3,13:01:28.76,-00:58:04.3,0.246,394,2,1.40,5.4,ACS/F550M,2148,2003-Aug-09,L,L
J130724.08+460400.9,13:07:24.08,+46:04:00.9,0.353,580,1,2.37,11.6,NIRC2/H/Kp,900/448,2010-Apr-21/2010-Jun-04,0.5/0.3,S
J133226.34+060627.3,13:32:26.34,+06:06:27.3,0.207,420,2,1.58,5.4,NIRC2/Kp,768,2010-Jun-04,0.4,S;L
J135024.66+240251.3,13:50:24.66,+24:02:51.3,0.557,240,1,1.80,11.6,NIRC2/Kp,420,2011-Jan-05,0.4,S
J135646.10+102609.0,13:56:46.10,+10:26:09.0,0.123,413,2,1.32,2.9,NIRC2/Kp,704,2010-Jun-03,0.8,L
J140318.10+164959.6,14:03:18.10,+16:49:59.6,0.455,340,1,1.20,6.7,NIRC2/H,1260,2012-May-19,0.4,S
J140646.11+234821.0,14:06:46.11,+23:48:21.0,0.519,310,1,0.90,5.4,NIRC2/H,1320,2012-May-19,0.3,S
J150243.09+111557.3,15:02:43.09,+11:15:57.3,0.390,720,1,1.47,7.8,NIRC2/Kp,448,2010-Jun-03,0.7,S
J151735.17+214532.5,15:17:35.17,+21:45:32.5,0.399,500,1,1.10,5.9,NIRC2/Kp,1024,2010-Jun-04,0.4,S
J152117.30+075955.4,15:21:17.30,+07:59:55.4,0.463,500,1,1.30,7.4,NIRC2/H,1200,2012-May-20,0.7,S
J152327.57+262940.7,15:23:27.57,+26:29:40.7,0.236,540,2,1.20,4.3,NIRC2/H,1200,2012-May-19,0.4,S
J154107.81+203608.8,15:41:07.81,+20:36:08.8,0.508,400,1,2.00,12.3,NIRC2/Kp/H,448/560,2010-Jun-04/2010-Apr-21,0.3/0.7,S
J155634.15+105616.7,15:56:34.15,+10:56:16.7,0.449,420,1,1.40,7.8,NIRC2/H,960,2012-May-20,0.6,S
J155645.97+241828.5,15:56:45.97,+24:18:28.5,0.220,530,1,1.00,3.4,NIRC2/H,1140,2012-May-19,0.3,S
J161027.41+130806.8,16:10:27.41,+13:08:06.8,0.229,290,1,2.35,8.6,NIRC2/Kp/H,192/540,2010-Jun-04/2010-Apr-21,0.3/0.7,S
J165206.15+310707.6,16:52:06.15,+31:07:07.6,0.075,310,2,2.96,4.2,NIRC2/Kp,320,2010-Jun-03,0.6,W;L
J165603.68+261722.1,16:56:03.68,+26:17:22.1,0.467,210,1,0.70,1.5,NIRC2/H,1140,2012-May-19,0.3,S
J172049.25+310646.4,17:20:49.25,+31:06:46.4,0.095,419,2,0.38,0.7,NIRC2/Kp,384,2010-Jun-03,0.5,L