Designation,z_sys,logM_1(M_sun),R_BLR(pc),E1Plate,E1Fiber,E1MJD,E2Plate,E2Fiber,E2MJD,Deltat(days),$V_{\rm ccf}^*$(km s^-1),$V_{\rm ccf}^*$(km s^-1),$V_{\rm ccf}^*$(km s^-1),$a_{\rm ccf}^*$(km s^-1 yr^-1),$a_{\rm ccf}^*$(km s^-1 yr^-1),$a_{\rm ccf}^*$(km s^-1 yr^-1),Category
012016.72-092028.8,0.495,8.42,0.083,0660,586,52177,2864,621,54467,1532,158,102,215,37,24,51,3
015836.26+010632.0,0.724,8.38,0.201,2045,417,53350,2851,417,54459,643,-103,-200,-14,-58,-113,-7,3
021225.56+010056.1,0.513,8.70,0.075,0405,380,51816,0703,334,52209,259,131,58,201,184,81,282,3
030100.23+000429.3,0.486,8.50,0.056,0411,265,51817,0709,477,52205,261,420,163,545,588,229,762,1
030639.57+000343.1,0.108,7.51,0.030,0412,400,52258,0412,397,51871,349,117,43,190,122,45,199,2
,,,,0412,394,51931,295,89,32,151,110,40,186
032205.04+001201.4,0.472,8.70,0.111,0413,598,51929,0712,431,52199,183,62,11,117,123v,21,234,3
032213.89+005513.4,0.185,8.04,0.068,0414,341,51901,1181,329,53358,1229,48,21,78,14,6,23,1
074700.19+285608.5,0.257,7.86,0.029,1059,327,52618,1059,329,52592,20,296,151,422,5241,2670,7467,2
080811.00+070510.6,0.467,8.25,0.056,1756,475,53080,2076,584,53442,246,131,55,209,194,82,309,3
083042.19+415142.8,0.469,7.97,0.053,0761,053,52266,0761,079,54524,1537,96,40,151,22,9,36,3
093502.52+433110.6,0.459,9.59,0.208,0870,080,52325,0940,321,52670,236,172,63,287,266,98,444,3
112010.15+184313.3,0.768,8.83,0.118,2495,144,54175,2872,074,54533,202,-144,-276,-18,-261,-498,-32,3
122909.52-003530.0,0.450,8.84,0.056,0289,150,51990,2568,032,54153,1491,324,197,453,79,48,111,1
135252.14+003758.6,0.485,8.04,0.075,0300,626,51943,0300,621,51666,186,-158,-209,-103,-310,-409,-202,3
135829.58+010908.6,0.244,8.39,0.041,0531,207,52028,0301,458,51641,311,138,59,215,162,70,252,2
,,,,0301,457,51942,69,82,15,148,437,80,783	
140030.13+002208.5,0.259,7.97,0.040,0301,545,51942,0301,550,51641,239,-124,-195,-47,-189,-298,-72,3
141020.57+364322.7,0.450,8.44,0.053,1643,359,53143,2931,496,54590,998,227,142,309,83,52,113,1
153705.95+005522.8,0.137,7.63,0.038,2955,289,54562,0315,419,51663,2550,110,43,181,15,6,26,1
154656.62+005719.6,0.211,7.37,0.029,2955,038,54562,0342,454,51691,2370,151,47,261,23,7,40,3
155053.16+052112.1,0.110,8.96,0.039,1822,308,53172,2951,326,54592,1278,-1034,-1183,-882,-295,-338,-251,1
165638.86+362121.0,0.536,7.97,0.047,0819,618,52409,0820,490,52438,18,-144,-231,-56,-2803,-4482,-1100,2
224623.54+130335.9,0.521,8.95,0.090,0740,208,52263,1893,018,53239,641,-269,-368,-166,-153,-210,-94,3
230946.14+000048.8,0.352,8.44,0.046,0381,485,51811,0678,555,52884,793,138,40,226,63,18,104,3
232525.32+000352.1,0.338,8.51,0.045,0383,518,51818,0681,355,52199,284,-186,-288,-77,-239,-369,-99,3
234018.85-011027.2,0.552,7.73,0.058,0385,207,51877,0682,053,52525,417,82,15,152,72,13,133,3
234145.51-004640.5,0.524,8.99,0.095,0385,139,51877,0682,020,52525,425,248,160,326,213,138,280,3
234932.77-003645.8,0.279,8.26,0.068,0386,215,51788,0684,261,52523,574,-68,-118,-17,-43,-75,-11,1
235545.51+004923.1,0.557,8.68,0.065,0387,324,51791,0685,358,52203,264,-275,-422,-128,-381,-583,-177,3