SDSSID,z,delta_t0,delta_V0,aLoS0,delta_t1,DV1_MgII,aLoS1_MgII,DV1_Hb,aLoS1_Hb
J002028.34+002915.0,1.93,0.2301,310,1347,14.15,-155.5,-11.0,L,L
J002311.06+003517.5,0.42,0.23,698,3035,14.15,181.0,12.8,L,L
J002411.66+004348.1,1.79,1.15,444,386,14.17,-51.8,-3.7,L,L
J002444.12+003221.2,0.40,0.23,380,1652,14.21,309.6,21.8,154.8,10.9
J003451.86-011125.6,1.84,1.28,-362,-283,14.28,-8.6,-0.6,L,L
J004052.15+000057.3,0.41,1.28,-1501,-1173,14.31,112.1,7.8,293.1,20.5
J004918.98+002609.5,1.94,0.28,-290,-1036,14.26,-698.2,-49.0,L,L
J011310.39+003113.3,0.41,1.12,552,493,14.27,198.3,13.9,190.1,13.3
J013418.19+001536.7,0.40,1.05,-1863,-1774,14.22,103.7,7.3,0.0,0.0
J014209.72+002348.3,1.35,1.14,-414,-363,14.01,-34.6,-2.5,L,L
J014415.13+002349.7,1.71,1.14,345,303,14.01,146.5,10.5,L,L
J014905.16+005925.4,1.00,1.12,-299,-267,14.27,-414.7,-29.1,L,L
J015454.88+004043.8,1.65,0.9,670,744,14.06,60.3,4.3,L,L
J020527.77+005747.6,1.24,0.18,293,1628,14.10,34.6,2.5,L,L
J020646.97+001800.6,1.68,0.18,362,2011,14.18,-51.8,-3.7,L,L
J025257.17-010220.7,1.25,0.17,318,1871,14.16,594.8,42.0,L,L
J025316.47+010759.8,1.03,0.98,-533,-544,14.16,-215.5,-15.2,L,L
J025331.93+001624.8,1.83,0.98,655,668,14.16,-77.6,-5.5,L,L
J082012.63+431358.4,1.07,0.68,378,556,13.98,25.9,1.8,L,L
J082214.83+431701.9,0.97,0.68,-455,-669,13.98,25.9,1.8,L,L
J095656.44+535023.3,0.61,6.16,300,49,12.91,241.9,18.7,-86.2,-6.7