SDSSID,z,log10MBH,delta_t,delta_V,aLoS
J002127.88+010420.2,1.82,9.81,9.81,-345,-35
J003333.61-001858.1,0.69,9.27,10.03,293,29
J014822.62+132142.6,0.88,9.36,10.33,-345,-33
J091344.40+150935.1,0.94,9.45,5.28,-276,-52
J095929.88+633359.8,1.85,10.74,11.14,-328,-29
J103623.66+152733.3,1.92,9.95,5.02,328,65
J105611.27+170827.5,1.33,9.62,5.93,-293,-49
J110038.79+282036.1,1.79,9.60,7.06,258,36
J125238.51+115557.1,1.85,9.64,6.87,310,45
J133615.79+495529.0,1.50,9.62,8.13,-207,-25
J135109.38+320049.0,1.12,9.64,4.85,-328,-67
J135218.49+224708.9,1.45,10.09,4.24,-397,-93
J163600.37+432802.7,0.94,9.42,11.00,276,25
J163709.31+414030.8,0.76,9.76,10.99,448,40